epoch,lr,loss,iou,val_loss,val_iou
0,0.0003,0.4712666228413582,0.055258488775290604,0.15196502655744554,1.0738160336623647e-09
1,0.0003,0.13423671536147594,5.012885606380711e-10,0.08510642573237419,1.0738160336623647e-09
2,0.0003,0.08338600397109985,4.833350689750993e-10,0.056501544266939166,0.007804596986356426
3,0.0003,0.06169754713773727,0.21727232368354432,0.045045175775885585,0.33036642453096415
4,0.0003,0.05497378967702389,0.4334199519461581,0.044013646245002744,0.23457776071667963
5,0.0003,0.05298441834747791,0.4563187667792237,0.03974698185920715,0.41162274609202887
6,0.0003,0.04841633103787899,0.5252075749054782,0.03623000606894493,0.5406991191005425
7,0.0003,0.04475915674120188,0.5883312887004644,0.03987247198820114,0.5762246142929965
8,0.0003,0.04441655818372965,0.6108983379200044,0.029376491159200668,0.5876745738183833
9,0.0003,0.03465721383690834,0.6364264921291988,0.026255124248564243,0.681933272310003
